Order Item ID,O.E.:,Job #:,Customer:,Qty.:,Part #,Rev,Contact:,DWG Rel.,M,Descriptions:,Price:,P.O. :,Packing Slip,Qty.:,Invoice:,Del. Req'd:,Del. Ship'd:,Delay:
833,38988,72623,Candu,2,RT-87900-0500-01-GA-E,3,Brandon Kwakye-Longdon,8/1/2025,2,C6-Bore Gague- Narrow Landing,"$26,795.00 ",RT98-87900-PN-R003,,,,28-Dec-25,,
,,,,,,,,,,,,,,,,,,
834,38989,72624,Candu,1,RT-87272-0010-01-GA-E,0,Sanchia Bartley-Ndiaye,8/5/2025,1,Hinge Mockup Columen for Comm.,"$135,869.00 ",RT98-87272-PN-R020-R.1,,,,26-Jan-26,,
,,,,,,,,,,,,,,,,,,
835,38990,72625,Candu,4,RT-88030-0053-01-GA-D,,Angelica de la Barrera,8/5/2025,1,Calandria Tube Extension Sleeve,"$1,612.00 ",RT98-87920-PN-R013,,,x,28-May-26,,
836,38990,72626,Candu,4,RT-88020-0200-1-GA-C,,Angelica de la Barrera,8/5/2025,2,Feeder Port Angle Adjustment Tool,"$1,258.00 ",RT98-87920-PN-R013,,,,28-May-26,,
837,38990,72627,Candu,3,RT-87920-74112-000-1-GA-E,,Angelica de la Barrera,8/5/2025,3,Lifting Grapple,"$10,765.00 ",RT98-87920-PN-R013,,,,28-May-26,,
838,38990,72628,Candu,3,RT-87920-74107-000-1-GA-E,,Angelica de la Barrera,8/5/2025,4,Extension Trolley,"$27,754.00 ",RT98-87920-PN-R013,,,,28-May-26,,
839,38990,72629,Candu,5,21RT-88070-0326-001-GA-1,,Angelica de la Barrera,8/5/2025,5,Cart Closure Plug Cart,"$10,517.00 ",RT98-87920-PN-R013,,,,28-May-26,,
840,38990,72630,Candu,5,RT-87920-74104-000-1-GA-E,,Angelica de la Barrera,8/5/2025,6,Insertion Trolley & Handle,"$16,571.00 ",RT98-87920-PN-R013,,,,28-May-26,,
841,38990,72631,Candu,3,RT-87590-0250-1-GA-0,,Angelica de la Barrera,8/5/2025,7,EF in Shuttle Flask Tool,"$4,197.00 ",RT98-87920-PN-R013,,,,28-May-26,,
842,38990,72632,Candu,5,RT-87500-0108-1-GA-0,,Angelica de la Barrera,8/5/2025,8,EF Rotation Tool,"$4,192.00 ",RT98-87920-PN-R013,,,,28-May-26,,
843,38990,72633,Candu,5,RT-87590-70201-4000-1-GA-B,,Angelica de la Barrera,8/5/2025,9,Manual Bellows Push Tool,"$46,607.00 ",RT98-87920-PN-R013,,,,28-May-26,,
